Activity Type,Date,Title,Time,Moving Time,Elapsed Time,Distance,Calories,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Max Avg Power (20 min),Avg Power,Max Power,Number of Laps,Min Elevation,Max Elevation
Virtual Cycling,6/2/22 12:05,Zwift - Tempus Fugit in Watopia,0:40:13,0:40:08,0:40:12,12.49,273,137,166,18.6,29.5,105.00,84,102,172,159,118,346,1,41,58.00
Virtual Cycling,6/1/22 22:16,Zwift - Sea to Tree in Makuri Islands,0:41:32,0:41:27,0:41:32,9.96,278,137,166,14.4,35.8,620.00,83,103,141,135,117,308,1,409,930.00
Virtual Cycling,5/27/22 17:40,Zwift - Tempus Fugit in Watopia,0:40:11,0:40:05,0:40:10,13.12,302,137,166,19.6,28.3,105.00,85,129,175,160,131,334,1,41,58.00
Virtual Cycling,5/24/22 16:46,Zwift,1:17:56,1:13:29,1:17:54,23.7,537,137,166,18.2,27.9,190.00,77,103,154,168,123,275,10,41,58.00
Virtual Cycling,5/19/22 21:05,Zwift - Tempus Fugit in Watopia,0:38:47,0:38:43,0:38:46,12.84,296,137,166,19.9,29.5,105.00,84,101,170,174,133,341,1,41,58.00
Virtual Cycling,5/18/22 20:54,just spinning,0:30:33,0:30:28,0:30:32,8.11,128,137,166,15.9,21.6,66.00,89,109,85,82,73,213,1,41,58.00
Virtual Cycling,5/15/22 13:11,Zwift - Lady Liberty in New York,0:52:26,0:52:25,0:52:25,13.73,381,137,166,15.7,47.3,1250.00,82,96,133,145,126,156,15,56,436.00
Virtual Cycling,5/12/22 22:15,Zwift - France,0:56:09,0:56:07,0:56:08,19.93,526,137,166,21.3,30.7,719.00,82,101,176,182,163,205,10,34,112.00
Virtual Cycling,5/11/22 21:14,Zwift - Pace Partner Ride: Tempus Fugit in Watopia with C. Cadence,1:00:18,1:00:15,1:00:17,25.11,541,137,166,25,30.2,194.00,81,98,160,163,156,305,1,41,58.00
Virtual Cycling,5/11/22 21:00,Zwift - Tempus Fugit in Watopia,0:11:58,0:11:50,0:11:57,2.52,34,137,166,12.6,19.1,20.00,83,114,61,80,51,200,1,42,53.00
Virtual Cycling,5/9/22 22:00,Zwift - Volcano Circuit CCW in Watopia,0:32:10,0:32:06,0:32:09,10.08,238,137,166,18.8,32.4,259.00,84,109,179,166,129,350,1,7,49.00
Virtual Cycling,5/8/22 15:39,Zwift - Endurance 1HR on Downtown Titans in Watopia,1:12:44,1:12:31,1:12:44,23.05,609,137,166,19,38.1,1522.00,85,107,156,165,146,317,15,-21,271.00
Virtual Cycling,5/5/22 21:50,Zwift - Tempus Fugit in Watopia,0:43:17,0:40:10,0:43:16,13.1,309,137,166,18.2,30.3,105.00,81,121,184,169,130,369,1,41,58.00
Virtual Cycling,5/4/22 21:33,Zwift - Endurance 1HR on Tempus Fugit in Watopia,1:03:06,1:02:29,1:03:28,20.57,425,137,166,19.6,26.5,167.00,86,121,128,135,117,259,15,41,58.00
Virtual Cycling,5/2/22 20:59,Zwift - Tempus Fugit in Watopia,0:20:40,0:15:27,0:21:05,4.38,90,137,166,12.7,23.5,39.00,58,100,129,77,105,268,1,42,58.00
Virtual Cycling,4/28/22 21:27,Zwift - Cobbled Climbs in Richmond,0:45:30,0:45:27,0:45:29,13.69,319,137,166,18.1,39.5,801.00,86,105,175,154,122,407,1,14,180.00
Virtual Cycling,4/27/22 21:34,Zwift - Watopia,0:43:15,0:42:44,0:43:15,13.75,319,137,166,19.1,27.4,105.00,80,132,151,165,129,308,15,41,58.00
Virtual Cycling,4/25/22 16:48,Zwift - Pace Partner Ride: Tick Tock in Watopia with C. Cadence,0:51:15,0:51:12,0:51:13,21.19,435,137,166,24.8,38.6,361.00,83,111,152,150,148,324,1,-21,92.00
