Distance,Calories,Avg HR,Max HR,Aerobic TE,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Bike Cadence,Max Bike Cadence,Normalized Power,Training Stress Score,Max Avg Power (20 min),Avg Power,Max Power,Total Strokes,Min Temp,Max Temp,Avg Resp,Min Resp,Max Resp,Min Elevation,Max Elevation
49.59,1594.00,149.00,185.00,5.00,16.60,29.10,1024.00,1027.00,83.00,111.00,152.00,149.70,163.00,126.00,525.00,12094.00,77.00,82.00,28.00,17.00,38.00,224.00,373.00
49.13,1485.00,132.00,178.00,4.00,12.80,32.70,1175.00,1070.00,66.00,101.00,130.00,116.10,110.00,80.00,419.00,8240.00,80.60,91.00,28.00,17.00,38.00,-29.00,180.00
88.45,2741.00,142.00,175.00,5.00,16.70,35.70,2100.00,2146.00,80.00,115.00,143.00,269.30,149.00,122.00,408.00,22110.00,64.40,85.00,19.00,19.00,19.00,-3.00,433.00
100.18,3457.00,143.00,179.00,5.00,16.10,29.00,2169.00,2172.00,81.00,82.00,138.00,118.00,133.00,111.00,445.00,25240.00,64.40,77.00,28.00,17.00,38.00,9.00,198.00
82.60,3217.00,145.00,186.00,4.90,16.10,37.40,4865.00,4859.00,83.00,201.00,138.00,118.00,133.00,111.00,445.00,22325.00,53.60,82.00,28.00,17.00,38.00,21.00,1420.00
17.42,651.00,125.00,179.00,3.00,13.50,28.50,453.00,436.00,72.00,134.00,138.00,118.00,133.00,111.00,445.00,2687.00,75.20,84.00,17.00,15.00,18.00,5.00,154.00
18.37,594.00,121.00,184.00,3.10,13.10,29.80,417.00,463.00,74.00,153.00,138.00,118.00,133.00,111.00,445.00,3091.00,77.00,84.00,20.00,18.00,23.00,-20.00,125.00
42.75,1465.00,139.00,175.00,3.80,16.10,28.30,896.00,925.00,80.00,135.00,138.00,118.00,133.00,111.00,445.00,10598.00,73.40,88.00,28.00,17.00,38.00,-30.00,112.00
23.85,979.00,145.00,170.00,2.50,13.70,31.60,682.00,728.00,71.00,104.00,138.00,118.00,133.00,111.00,445.00,4916.00,77.00,90.00,28.00,17.00,38.00,-15.00,135.00
39.27,1397.00,145.00,181.00,4.30,17.80,25.80,226.00,253.00,103.00,235.00,138.00,118.00,133.00,111.00,445.00,11960.00,69.80,77.00,28.00,17.00,38.00,-18.00,22.00
11.44,461.00,134.00,166.00,2.70,13.80,27.60,413.00,374.00,72.00,119.00,138.00,118.00,133.00,111.00,445.00,2616.00,78.80,80.00,22.00,22.00,22.00,-18.00,205.00
39.74,1397.00,132.00,167.00,3.20,14.20,25.30,1017.00,1027.00,82.00,108.00,138.00,118.00,133.00,111.00,445.00,10666.00,78.80,80.00,28.00,17.00,38.00,4.00,112.00
10.94,494.00,145.00,170.00,2.50,14.70,32.20,335.00,394.00,79.00,111.00,138.00,118.00,133.00,111.00,445.00,2584.00,69.80,80.00,28.00,17.00,38.00,14.00,243.00
78.07,2682.00,149.00,177.00,5.00,17.70,25.20,1470.00,1503.00,80.00,160.00,138.00,118.00,133.00,111.00,445.00,19677.00,57.20,75.00,28.00,17.00,38.00,167.00,749.00
118.72,4449.00,150.00,181.00,5.00,14.80,38.60,7198.00,7293.00,93.00,209.00,138.00,118.00,133.00,111.00,445.00,31289.00,71.60,83.00,24.00,21.00,26.00,18.00,1279.00
48.91,1848.00,150.00,179.00,5.00,15.80,27.10,1135.00,1119.00,78.00,119.00,138.00,118.00,133.00,111.00,445.00,11871.00,78.80,88.00,28.00,17.00,38.00,16.00,165.00
19.67,717.00,136.00,177.00,3.30,14.50,27.80,856.00,873.00,74.00,116.00,138.00,118.00,133.00,111.00,445.00,4270.00,71.60,87.00,28.00,17.00,38.00,37.00,157.00
